Model No.,Frequency (Hz),Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link
JK-20,50,3,2,1.5kW,80,"3""",35,620,18,59,Dirty Water,https://www.hungpump.com/jk
JK-20T,50,3,2,1.5kW,80,"3""",35,620,18,59,Dirty Water,https://www.hungpump.com/jk
JK-30,50,1,3,2.2kW,80,"3""",35,780,18,59,Dirty Water,https://www.hungpump.com/jk
JK-30,50,3,3,2.2kW,80,"3""",35,780,18,59,Dirty Water,https://www.hungpump.com/jk
JK-30T,50,3,3,2.2kW,80,"3""",35,780,18,59,Dirty Water,https://www.hungpump.com/jk
JK-30,50,3,3,2.2kW,80,"3""",35,780,18,59,Dirty Water,https://www.hungpump.com/jk
JK-30,50,3,3,2.2kW,80,"3""",35,780,18,59,Dirty Water,https://www.hungpump.com/jk
JK-50,50,3,5,3.7kW,100,"4""",45,1100,22,72,Dirty Water,https://www.hungpump.com/jk
JK-50T,50,3,5,3.7kW,100,"4""",45,1100,22,72,Dirty Water,https://www.hungpump.com/jk
JK-50,50,3,5,3.7kW,100,"4""",45,1100,22,72,Dirty Water,https://www.hungpump.com/jk
JK-50,50,3,5,3.7kW,100,"4""",45,1100,22,72,Dirty Water,https://www.hungpump.com/jk
JK-75,50,3,7.5,5.5kW,100,"4""",50,1200,24,79,Dirty Water,https://www.hungpump.com/jk
JKCH-20,50,1,1/2,400W,32,"1-1/4""",1.2,100,20,66,,https://www.hungpump.com/jkch
JKCH-30,50,1,3/4,550W,32,"1-1/4""",1.2,100,30,98,,https://www.hungpump.com/jkch
JKCH-40,50,1,1.1,800W,32,"1-1/4""",1.2,100,40,131,,https://www.hungpump.com/jkch
JKCH-50,50,1,1.5,1.1kW,32,"1-1/4""",1.2,100,50,164,,https://www.hungpump.com/jkch
JKCH-60,50,1,1.8,1.35kW,32,"1-1/4""",1.2,100,60,197,,https://www.hungpump.com/jkch
JKCH-60A,50,1,1.8,1.35kW,32,"1-1/4""",1.2,100,60,197,,https://www.hungpump.com/jkch
KA-2.4,50,1,1/2,400W,50,"2""",7,240,12,39,Dirty Water,https://www.hungpump.com/ka
KA-2.4A,50,1,1/2,400W,50,"2""",7,240,12,39,Dirty Water,https://www.hungpump.com/ka
KA-2.4D,50,1,1/2,400W,50,"2""",7,255,12,39,Dirty Water,https://www.hungpump.com/ka
KA-2.4DA,50,1,1/2,400W,50,"2""",7,255,12,39,Dirty Water,https://www.hungpump.com/ka
KA-2.4R,50,1,1/2,400W,50,"2""",2.8,150,12.5,39,Dirty Water,https://www.hungpump.com/ka
KA-2.75D,50,1,1,750W,50,"2""",7,240,19,62,Dirty Water,https://www.hungpump.com/ka
KA-2.75D,50,1,1,750W,50,"2""",7,240,19,62,Dirty Water,https://www.hungpump.com/ka
KA-2.75DA,50,1,1,750W,50,"2""",7,240,19,62,Dirty Water,https://www.hungpump.com/ka
KA-3.75D,50,1,1,750W,80,"3""",7,270,19,62,Dirty Water,https://www.hungpump.com/ka
KA-3.75DA,50,1,1,750W,80,"3""",7,270,19,62,Dirty Water,https://www.hungpump.com/ka
KHL-100,50,3,10,7.5kW,100,"4""",15,1700,35,115,Dirty Water,https://www.hungpump.com/khl
KHL-20,50,1,2,1.5kW,50,"2""",12,415,25,82,Dirty Water,https://www.hungpump.com/khl
KHL-20,50,3,2,1.5kW,50,"2""",12,415,25,82,Dirty Water,https://www.hungpump.com/khl
KHL-20T,50,3,2,1.5kW,50,"2""",12,415,25,82,Dirty Water,https://www.hungpump.com/khl
KHL-30,50,3,3,2.2kW,50,"2""",12,620,28,92,Dirty Water,https://www.hungpump.com/khl
KHL-30T,50,3,3,2.2kW,50,"2""",12,620,28,92,Dirty Water,https://www.hungpump.com/khl
KHL-50,50,3,5,3.7kW,50,"2""",15,770,32,105,Dirty Water,https://www.hungpump.com/khl
KHL-50T,50,3,5,3.7kW,80,"3""",15,770,32,105,Dirty Water,https://www.hungpump.com/khl
KHL-75,50,3,7.5,5.5kW,80,"3""",15,1450,33,108,Dirty Water,https://www.hungpump.com/khl
KS-05,50,1,1/2,400W,50,"2""",5,260,10,33,Dirty Water,https://www.hungpump.com/ks
KS-10,50,1,1,750W,50,"2""",6,420,14,46,Dirty Water,https://www.hungpump.com/ks
KS-10,50,3,1,750W,50,"2""",6,420,14,46,Dirty Water,https://www.hungpump.com/ks
KS-100G,50,3,10,7.5kW,100,"4""",11,2400,28,92,Dirty Water,https://www.hungpump.com/ks
KS-20,50,1,2,1.5kW,80,"3""",9,700,17,56,Dirty Water,https://www.hungpump.com/ks
KS-20,50,3,2,1.5kW,80,"3""",9,700,17,56,Dirty Water,https://www.hungpump.com/ks
KS-20,50,3,2,1.5kW,80,"3""",12,960,15.5,51,Dirty Water,https://www.hungpump.com/ks
KS-30,50,3,3,2.2kW,80,"3""",11,900,18,59,Dirty Water,https://www.hungpump.com/ks
KS-30GT,50,3,3,2.2kW,80,"3""",11,900,18,59,Dirty Water,https://www.hungpump.com/ks
KS-30,50,3,3,2.2kW,80,"3""",11,900,18,59,Dirty Water,https://www.hungpump.com/ks
KS-30,50,3,3,2.2kW,80,"3""",11,900,18,59,Dirty Water,https://www.hungpump.com/ks
KS-30,50,3,3,2.2kW,80,"3""",12,1200,20,66,Dirty Water,https://www.hungpump.com/ks
KS-50,50,3,5,3.7kW,80,"3""",12,1400,26,85,Dirty Water,https://www.hungpump.com/ks
KS-50G,50,3,5,3.7kW,100,"4""",11,1200,22,72,Dirty Water,https://www.hungpump.com/ks
KS-50G,50,3,5,3.7kW,100,"4""",11,1200,22,72,Dirty Water,https://www.hungpump.com/ks
KS-50G,50,3,5,3.7kW,100,"4""",11,1200,22,72,Dirty Water,https://www.hungpump.com/ks
KS-75G,50,3,7.5,5.5kW,100,"4""",11,1900,24,79,Dirty Water,https://www.hungpump.com/ks
KSH-05,50,1,1/2,0.4kW,40,"1-1/2""",2,130,18,59,,https://www.hungpump.com/ksh
KSH-10,50,1,1,750W,40,"1-1/2""",2.5,200,21,69,,https://www.hungpump.com/ksh
KSL-10,50,3,1,750W,80,"3""",9,560,13,43,Dirty Water,https://www.hungpump.com/ksl
KSP-10,50,1,1,750W,50,"2""",6,420,14,46,,https://www.hungpump.com/ksp
KSP-10,50,3,1,750W,50,"2""",6,420,14,46,,https://www.hungpump.com/ksp
KSP-100,50,3,10,7.5kW,150,"6""",11,2400,28,92,,https://www.hungpump.com/ksp
KSP-20,50,1,2,1.5kW,80,"3""",9,700,17,56,,https://www.hungpump.com/ksp
KSP-20,50,3,2,1.5kW,80,"3""",9,700,17,56,,https://www.hungpump.com/ksp
KSP-30,50,3,3,2.2kW,80,"3""",11,900,18,59,,https://www.hungpump.com/ksp
KSP-50,50,3,5,3.7kW,100,"4""",11,1200,22,72,,https://www.hungpump.com/ksp
KSP-75,50,3,7.5,5.5kW,100,"4""",11,1900,24,79,,https://www.hungpump.com/ksp
KSV-150,50,1,1/5,150W,40,"1-1/2""",5,200,6,20,,https://www.hungpump.com/ksv
KSV-1500,50,1,2,1.5kW,80,"3""",20,800,17,56,,https://www.hungpump.com/ksv
KSV-1500,50,3,2,1.5kW,80,"3""",20,800,17,56,,https://www.hungpump.com/ksv
KSV-250,50,1,1/3,250W,40,"1-1/2""",5,240,7,23,,https://www.hungpump.com/ksv
KSV-400,50,1,1/2,400W,50,"2""",10,300,9,30,,https://www.hungpump.com/ksv
KSV-550,50,1,3/4,550W,50,"2""",15,330,10,33,,https://www.hungpump.com/ksv
KSV-750,50,1,1,750W,80,"3""",15,430,11,36,,https://www.hungpump.com/ksv
KSV-750,50,3,3,750W,80,"3""",15,430,11,36,,https://www.hungpump.com/ksv
KT-215,50,1,2,1.5kW,50,"2""",N/A,505,22,72,Construction,https://www.hungpump.com/kt
KT-215,50,3,2,1.5kW,50,"2""",N/A,505,22,72,Construction,https://www.hungpump.com/kt
KT-222,50,3,3,2.2kW,50,"2""",N/A,670,26,85,Construction,https://www.hungpump.com/kt
KT-237,50,3,5,3.7kW,50,"2""",N/A,550,37,121,Construction,https://www.hungpump.com/kt
KT-315,50,1,2,1.5kW,80,"3""",N/A,550,15,49,Construction,https://www.hungpump.com/kt
KT-315,50,3,2,1.5kW,80,"3""",N/A,550,15,49,Construction,https://www.hungpump.com/kt
KT-322,50,3,3,2.2kW,80,"3""",N/A,800,22,72,Construction,https://www.hungpump.com/kt
KT-337,50,3,5,3.7kW,80,"3""",N/A,760,32,105,Construction,https://www.hungpump.com/kt
KT-355,50,3,7.5,5.5kW,80,"3""",N/A,1360,36,118,Construction,https://www.hungpump.com/kt
KT-4110,50,3,15,11kW,100,"4""",N/A,1450,45,148,Construction,https://www.hungpump.com/kt
KT-4150,50,3,20,15kW,100,"4""",N/A,1930,52,171,Construction,https://www.hungpump.com/kt
KT-437,50,3,5,3.7kW,100,"4""",N/A,1430,19,62,Construction,https://www.hungpump.com/kt
KT-455,50,3,7.5,5.5kW,100,"4""",N/A,1940,22,72,Construction,https://www.hungpump.com/kt
KT-475,50,3,10,7.5kW,100,"4""",N/A,1550,39,128,Construction,https://www.hungpump.com/kt
KT-6110,50,3,15,11kW,150,"6""",N/A,2480,34,112,Construction,https://www.hungpump.com/kt
KT-6150,50,3,20,15kW,150,"6""",N/A,2950,45,148,Construction,https://www.hungpump.com/kt
KT-675,50,3,10,7.5kW,150,"6""",N/A,2050,28,92,Construction,https://www.hungpump.com/kt
MAS-150,50,1,1/5,150W,40,"1-1/2""",19,240,6.5,21,Clean Water,https://www.hungpump.com/mas
MAS-250,50,1,1/3,250W,40,"1-1/2""",19,270,7.5,25,Clean Water,https://www.hungpump.com/mas
MAS-250HJ,50,1,1/3,250W,50,"2""",19,320,11,36,Clean Water,https://www.hungpump.com/mas
MAS-400,50,1,1/2,400W,50,"2""",19,320,9,30,Clean Water,https://www.hungpump.com/mas
MAS-750,50,1,1,750W,50,"2""",19,370,12,39,Clean Water,https://www.hungpump.com/mas
MAS-750A,50,1,1,750W,50,"2""",19,370,12,39,Clean Water,https://www.hungpump.com/mas
MAV-400,50,1,1/2,400W,50,"2""",20,320,9,30,,https://www.hungpump.com/mav
MH-150,50,1,1/5,150W,50,"2""",6,240,6.5,21,Clean Water,https://www.hungpump.com/mh
MH-150FR,50,1,1/5,150W,50,"2""",6,240,6.5,21,Clean Water,https://www.hungpump.com/mh
MH-250,50,1,1/3,250W,50,"2""",6,280,7,23,Clean Water,https://www.hungpump.com/mh
MH-250-FR,50,1,1/3,250W,50,"2""",6,280,7,23,Clean Water,https://www.hungpump.com/mh
MH-400,50,1,1/2,400W,50,"2""",6,320,8.5,28,Clean Water,https://www.hungpump.com/mh
MH-400-FR,50,1,1/2,400W,50,"2""",6,320,8.5,28,Clean Water,https://www.hungpump.com/mh
MH-750,50,1,1,750W,50,"2""",6,380,10,33,Clean Water,https://www.hungpump.com/mh
MH-750-FR,50,1,1,750W,50,"2""",6,380,10,33,Clean Water,https://www.hungpump.com/mh
MH-752,50,1,1,750W,50,"2""",6,380,10,33,Clean Water,https://www.hungpump.com/mh
MVH-10,50,1,3/4,550W,25,"1""",3,100,32,105,High Pressure,https://www.hungpump.com/mvh
MVH-10A,50,1,3/4,550W,25,"1""",3,100,32,105,High Pressure,https://www.hungpump.com/mvh
MVH-10E,50,1,3/4,550W,25,"1""",3,95,30,98,High Pressure,https://www.hungpump.com/mvh
PA-18H,50,1,30,30,200,"8""",35,6000,26,85,,https://www.hungpump.com/pa
RAS-250,50,1,1/3,250W,50,"2""",12,210,7.5,25,,https://www.hungpump.com/ras
RS-25E,50,1,1/6,100W,25,"1""",3,70,6,20,,https://www.hungpump.com/rs
RS-25EA,50,1,1/6,100W,25,"1""",3,70,6,20,,https://www.hungpump.com/rs
RS-25S,50,1,1/6,100W,25,"1""",3,70,6,20,,https://www.hungpump.com/rs
RS-32,50,1,1/4,200W,32,"1-1/4""",3,130,7,23,,https://www.hungpump.com/rs
RS-32E,50,1,1/4,200W,32,"1-1/4""",3,130,7,23,,https://www.hungpump.com/rs
RS-32EA,50,1,1/4,200W,32,"1-1/4""",3,130,7,23,,https://www.hungpump.com/rs
RS-32S,50,1,1/4,200W,32,"1-1/4""",3,130,7,23,,https://www.hungpump.com/rs
RV-32,50,1,1/4,200W,32,"1-1/4""",18,130,6.5,21,,https://www.hungpump.com/rv
RV-40,50,1,1/3,250W,32,"1-1/4""",18,160,8,26,,https://www.hungpump.com/rv
SB-05,50,1,1/2,400W,50,"2""",30,320,9,30,Sewage and Wastewater,https://www.hungpump.com/sb
SB-05,50,3,1/2,400W,50,"2""",30,320,9,30,Sewage and Wastewater,https://www.hungpump.com/sb
SB-10,50,1,1,750W,50,"2""",30,400,12,39,Sewage and Wastewater,https://www.hungpump.com/sb
SB-10,50,3,1,750W,50,"2""",30,400,12,39,Sewage and Wastewater,https://www.hungpump.com/sb
SB-10A,50,1,1,750W,50,"2""",30,410,11,36,Sewage and Wastewater,https://www.hungpump.com/sb
SB-20,50,1,2,1.5kW,80,"3""",35,630,16,52,Sewage and Wastewater,https://www.hungpump.com/sb
SB-20,50,3,2,1.5kW,80,"3""",35,630,16,52,Sewage and Wastewater,https://www.hungpump.com/sb
SB-20T,50,3,2,1.5kW,80,"3""",35,630,16,52,Sewage and Wastewater,https://www.hungpump.com/sb
SB-30,50,3,3,2.2kW,80,"3""",35,780,18,59,Sewage and Wastewater,https://www.hungpump.com/sb
SB-30,50,3,3,2.2kW,80,"3""",35,780,18,59,Sewage and Wastewater,https://www.hungpump.com/sb
SB-30T,50,3,3,2.2kW,80,"3""",35,780,18,59,Sewage and Wastewater,https://www.hungpump.com/sb
SB-50,50,3,5,3.7kW,100,"4""",45,1100,22,72,Sewage and Wastewater,https://www.hungpump.com/sb
SB-50T,50,3,5,3.7kW,100,"4""",45,1100,22,72,Sewage and Wastewater,https://www.hungpump.com/sb
SB-75,50,3,7.5,5.5kW,100,"4""",50,1200,24,79,Sewage and Wastewater,https://www.hungpump.com/sb
SB-75T,50,3,7.5,5.5kW,100,"4""",50,1200,24,79,Sewage and Wastewater,https://www.hungpump.com/sb
SD-250,50,1,1/3,250W,50,"2""",7,220,9,30,,https://www.hungpump.com/sd
SD-400,50,1,1/2,400W,50,"2""",7,240,11,36,,https://www.hungpump.com/sd
SD-750,50,1,1,750W,50,"2""",7,300,15,49,,https://www.hungpump.com/sd
SD-750,50,3,1,750W,50,"2""",7,300,15,49,,https://www.hungpump.com/sd
SDP-250,50,1,1/3,250W,50,"2""",7,200,9,30,Clean Water,https://www.hungpump.com/sdp
SDP-400,50,1,1/2,400W,50,"2""",7,220,12,39,Clean Water,https://www.hungpump.com/sdp
SDP-400A,50,1,1/2,400W,50,"2""",7,220,12,39,Clean Water,https://www.hungpump.com/sdp
SDP-750,50,1,1,750W,50,"2""",7,280,15,49,Clean Water,https://www.hungpump.com/sdp
SDP-750,50,3,1,750W,50,"2""",7,280,15,49,Clean Water,https://www.hungpump.com/sdp
SG-400,50,1,1/2,400W,50,"2""",35,360,8,26,,https://www.hungpump.com/sg
SG-402,50,1,1/2,400W,50,"2""",35,360,8,26,,https://www.hungpump.com/sg
SG-402A,50,1,1/2,400W,50,"2""",35,360,8,26,,https://www.hungpump.com/sg
SG-750,50,1,1,750W,50,"2""",35,430,11,36,,https://www.hungpump.com/sg
SG-750A,50,1,1,750W,50,"2""",35,430,11,36,,https://www.hungpump.com/sg
SG-750T,50,3,1,750W,50,"2""",35,430,11,36,,https://www.hungpump.com/sg
SH-400,50,1,1/2,400W,40,"1-1/2""",20,250,6,20,,https://www.hungpump.com/sh
SM-100,50,1,1/6,100W,25,"1""",3,70,6,20,,https://www.hungpump.com/sm
SM-200,50,1,1/4,200W,32,"1-1/4""",3,140,7,23,,https://www.hungpump.com/sm
SM-300,50,1,1/3,300W,40,"1-1/2""",3,180,8,26,,https://www.hungpump.com/sm
SM-400,50,1,1/2,400W,50,"2""",3,220,10,33,,https://www.hungpump.com/sm
SR-400,50,1,1/2,400W,25,"1""",7,170,11,36,,https://www.hungpump.com/sr
SR-400,50,1,1/2,400W,50,"2""",7,200,10,33,,https://www.hungpump.com/sr
SS-250,50,1,1/3,250W,50,"2""",7,220,9,30,Clean Water,https://www.hungpump.com/ss
SS-400,50,1,1/2,400W,50,"2""",7,240,11,36,Clean Water,https://www.hungpump.com/ss
SS-750,50,1,1,750W,50,"2""",7,300,15,49,Clean Water,https://www.hungpump.com/ss
SS-750,50,3,1,750W,50,"2""",7,300,15,49,Clean Water,https://www.hungpump.com/ss
SSB-05,50,1,1/2,400W,50,"2""",30,320,9,30,,https://www.hungpump.com/ssb
SV-150,50,1,1/5,150W,40,"1-1/2""",27,170,6,20,Dirty Water,https://www.hungpump.com/sv
SV-1500,50,1,2,1.5kW,80,"3""",40,700,16,52,Dirty Water,https://www.hungpump.com/sv
SV-1500A,50,1,2,1.5kW,80,"3""",40,700,16,52,Dirty Water,https://www.hungpump.com/sv
SV-1500,50,3,2,1.5kW,80,"3""",40,700,16,52,Dirty Water,https://www.hungpump.com/sv
SV-1500T,50,3,2,1.5kW,80,"3""",40,700,16,52,Dirty Water,https://www.hungpump.com/sv
SV-250,50,1,1/3,250W,40,"1-1/2""",27,220,7.5,25,Dirty Water,https://www.hungpump.com/sv
SV-250A,50,1,1/3,250W,40,"1-1/2""",27,220,7.5,25,Dirty Water,https://www.hungpump.com/sv
SV-400,50,1,1/2,400W,50,"2""",35,350,8.5,28,Dirty Water,https://www.hungpump.com/sv
SV-400,50,1,1/2,400W,50,"2""",35,350,8.5,28,Dirty Water,https://www.hungpump.com/sv
SV-550,50,1,3/4,550W,50,"2""",35,370,9,30,Dirty Water,https://www.hungpump.com/sv
SV-750,50,1,1,750W,80,"3""",37,415,11,36,Dirty Water,https://www.hungpump.com/sv
SV-750,50,3,1,750W,80,"3""",37,415,11,36,Dirty Water,https://www.hungpump.com/sv
SV-750A,50,1,1,750W,80,"3""",37,415,11,36,Dirty Water,https://www.hungpump.com/sv
SV-750T,50,3,1,750W,80,"3""",37,415,11,36,Dirty Water,https://www.hungpump.com/sv
TAS-250,50,1,1/3,250W,40,"1-1/2""",14,270,7.5,25,Clean Water,https://www.hungpump.com/tas
TAS-250J,50,1,1/3,250W,40,"1-1/2""",14,270,7.5,25,Clean Water,https://www.hungpump.com/tas
TAS-400,50,1,1/2,400W,50,"2""",14,320,10,33,Clean Water,https://www.hungpump.com/tas
TAS-400J,50,1,1/2,400W,50,"2""",14,320,10,33,Clean Water,https://www.hungpump.com/tas
TAS-750,50,1,1,750W,50,"2""",14,340,11,36,Clean Water,https://www.hungpump.com/tas
TAS-750,50,3,1,750W,50,"2""",14,340,11,36,Clean Water,https://www.hungpump.com/tas
TAS-750,50,3,1,750W,50,"2""",14,340,11,36,Clean Water,https://www.hungpump.com/tas
TAS-750-1,50,1,1,750W,50,"2""",14,340,11,36,Clean Water,https://www.hungpump.com/tas
TAS-750-3,50,3,1,750W,50,"2""",14,340,11,36,Clean Water,https://www.hungpump.com/tas
TAS-750A,50,1,1,750W,50,"2""",14,340,11,36,Clean Water,https://www.hungpump.com/tas
TAS-750J,50,1,1,750W,50,"2""",14,340,11,36,Clean Water,https://www.hungpump.com/tas
TPS-200,50,1,1/4,200W,32,"1-1/4""",5,140,7,23,Clean Water,https://www.hungpump.com/tps
TPS-200M,50,1,1/4,200W,32,"1-1/4""",5,140,7,23,Clean Water,https://www.hungpump.com/tps
TPS-200A,50,1,1/4,200W,32,"1-1/4""",5,140,7,23,Clean Water,https://www.hungpump.com/tps
TPS-200S,50,1,1/4,200W,32,"1-1/4""",5,140,7,23,Clean Water,https://www.hungpump.com/tps
TPS-50,50,1,1/10,80W,20,"3/4""",5,40,4,13,Clean Water,https://www.hungpump.com/tps
TPS-50A,50,1,1/10,80W,20,"3/4""",5,40,4,13,Clean Water,https://www.hungpump.com/tps
TPS-50S,50,1,1/10,80W,20,"3/4""",5,40,4,13,Clean Water,https://www.hungpump.com/tps
TPV-200,50,1,1/4,200W,32,"1-1/4""",19,140,7,23,,https://www.hungpump.com/tpv
TPV-200V,50,1,1/4,200W,32,"1-1/4""",19,140,7,23,,https://www.hungpump.com/tpv
TPV-600,50,1,3/4,600W,32,"1-1/4""",32,240,6.5,21,,https://www.hungpump.com/tpv
TS-20,50,3,2,1.5kW,80,"3""",35,960,15.5,51,,https://www.hungpump.com/ts
U72R,50,1,1/2,400W,40,"1-1/2""",20,240,6.5,,,https://www.hungpump.com/u
WS-33R,50,1,1/3,250W,32,"1-1/4""",7,200,7,23,,https://www.hungpump.com/ws
LKT-100EA,50,1,1/6,100W,25,"1""",3,90,6,20,,https://www.hungpump.com/lkt
BAH-400A,50,1,1/2,400W,32,"1-1/4""",8,180,20,66,Dirty Water,https://www.hungpump.com/bah
BAH-750A,50,1,1,750W,50,"2""",8,220,25,82,Dirty Water,https://www.hungpump.com/bah
BAH-400V,50,1,1/2,400W,32,"1-1/4""",8,180,20,66,Dirty Water,https://www.hungpump.com/bah
BAH-750V,50,1,1,750W,50,"2""",8,220,25,82,Dirty Water,https://www.hungpump.com/bah
KHL-05,50,1,1/2,400W,32,"1-1/4""",8,180,20,66,Dirty Water,https://www.hungpump.com/khl
KHL-10,50,1,1,750W,50,"2""",8,220,25,82,Dirty Water,https://www.hungpump.com/khl
KHL-10,50,3,1,750W,50,"2""",8,220,25,82,Dirty Water,https://www.hungpump.com/khl
KHL-05A,50,1,1/2,400W,32,"1-1/4""",8,180,20,66,Dirty Water,https://www.hungpump.com/khl
KHL-10A,50,1,1,750W,50,"2""",8,220,25,82,Dirty Water,https://www.hungpump.com/khl
KHL-05V,50,1,1/2,400W,32,"1-1/4""",8,180,20,66,Dirty Water,https://www.hungpump.com/khl
KHL-10V,50,1,1,750W,50,"2""",8,220,25,82,Dirty Water,https://www.hungpump.com/khl
100ADL65.5,60,3,7.5,5.5kW,100,"4""",80,"2,850",18,59,Dirty Water,https://www.hungpump.com/adl
100ADL65.5,60,3,7.5,5.5kW,100,"4""",80,"2,850",18,59,Dirty Water,https://www.hungpump.com/adl
100ADL65.5,60,3,7.5,5.5kW,100,"4""",80,"2,850",18,59,Dirty Water,https://www.hungpump.com/adl
100ADL67.5,60,3,10,7.5kW,100,"4""",80,"3,050",22,72,Dirty Water,https://www.hungpump.com/adl
100ADL67.5,60,3,10,7.5kW,100,"4""",80,"3,050",22,72,Dirty Water,https://www.hungpump.com/adl
100ADL67.5,60,3,10,7.5kW,100,"4""",80,"3,050",22,72,Dirty Water,https://www.hungpump.com/adl
50ADVS5.75,60,1,1,750W,50,"2""",33,320,14,46,Dirty Water,https://www.hungpump.com/advs
50ADVS5.75,60,1,1,750W,50,"2""",33,320,14,46,Dirty Water,https://www.hungpump.com/advs
50ADVS5.75,60,3,1,750W,50,"2""",33,320,14,46,Dirty Water,https://www.hungpump.com/advs
50ADVS5.75,60,3,1,750W,50,"2""",33,320,14,46,Dirty Water,https://www.hungpump.com/advs
50ADVS51.5,60,1,2,1.5kW,50,"2""",31,420,22,72,Dirty Water,https://www.hungpump.com/advs
50ADVS51.5,60,3,2,1.5kW,50,"2""",31,420,22,72,Dirty Water,https://www.hungpump.com/advs
50ADVS51.5,60,3,2,1.5kW,50,"2""",31,420,22,72,Dirty Water,https://www.hungpump.com/advs
50ADVS61.5,60,3,2,1.5kW,50,"2""",31,420,22,72,Dirty Water,https://www.hungpump.com/advs
65ADL61.5,60,1,2,1.5kW,65,"2-1/2""",40,850,15,49,Dirty Water,https://www.hungpump.com/adl
65ADL61.5,60,3,2,1.5kW,65,"2-1/2""",40,850,15,49,Dirty Water,https://www.hungpump.com/adl
65ADL61.5,60,3,2,1.5kW,65,"2-1/2""",40,850,15,49,Dirty Water,https://www.hungpump.com/adl
65ADVS61.5,60,1,2,1.5kW,65,"2-1/2""",45,700,17,56,Dirty Water,https://www.hungpump.com/advs
65ADVS61.5,60,3,2,1.5kW,65,"2-1/2""",45,700,17,56,Dirty Water,https://www.hungpump.com/advs
